labels,v1,v2,v3,v4,v5,v6
Bio,bio,biologique,organic,,,
HVE,hve,haute valeur environnmentale,hve3,,,
CE2,ce2,certification environnementale,,,,
MSC,msc,,,,,
Label Rouge,label rouge,lr,lable rouge,,,
VBF,vbf,bovine française,bovine francaise,,,
VPF,vpf,porc français,porc francaise,porc francaise,porc fraçaise,lpf
VF,vf,volaille française,folaille francaise,,,
AOP,aop,origine protégée,origine protegee,,,
AOC,aoc,origine contrôlée,origine controlee,,,
Pêche Durable,pêche durable,peche durable,,,,
STG,stg,spécialité tradicionnelle,specialite tradicionnelle,,,
Produit fermier,produit de la ferme,produit fermier,,,,
RUP,rup,ultrapériphérique,ultraperipherique,,,
IGP,igp,indication géographique protégée,indication geographique protegee,,,
BBC,bbc,bleu blanc coeur,,,,
